,Balance/P&L,Credit/Debit,Is acc. Account,What is the parent/acc. Account,Accounting types,,,,"Tax types (Gewerbe, Umsatz, Koest)",,,Allowed tax id,Overwrites tax id definitions if defined,Tax1,Tax2,,,,Tax report pos.,,,
1598,,,,,,,,,,,,,,,,,,,,,Forderg. gg. UN mit Beteiligg.verh. b.1J,Receivables from other long-term investees and investors remaining term up to 1 year
1599,,,,,,,,,,,,,,,,,,,,,Forderg. gg. UN mit Beteiligg.verh. g.1J,Receivables from other long-term investees and investors remaining term greater than 1 year
1600,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten aus L+L,Trade payables
1601,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten aus L+L,Trade payables
1602,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten aus L+L,Trade payables
1603,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten aus L+L,Trade payables
1605,,,,,,,,,,,,,,,,,,,,,Verbindl. aus L+L allg. Steuersatz (EÜR),Trade payables at general VAT rate (cash basis accounting)
1606,,,,,,,,,,,,,,,,,,,,,Verbindl. aus L+L erm. Steuersatz (EÜR),Trade payables at reduced VAT rate (cash basis accounting)
1607,,,,,,,,,,,,,,,,,,,,,Verbindl. aus L+L ohne Vorsteuerabzug,if payables are classified by tax rates (cash basis accounting)
1609,,,,,,,,,,,,,,,,,,,,,Gegenkto Aufteilung Verbindl. L+L (EÜR),Contra account 1605-1607 if payables are classified by tax rates (cash basis accounting)
1610,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten L+L ohne Kontokorrent,"Trade payables, no separate receivables/payables accounting"
1624,,,,,,,,,,,,,,,,,,,,,Verbindl.L+L f.Invest. für § 4 (3) EStG,"Trade payables for investments, section 4(3) EStG"
1625,,,,,,,,,,,,,,,,,,,,,Verbindl.a.Lieferungen/Leistungen b.1 J,"Trade payables, no separate receivables/payables accounting remaining term up to 1 year"
1626,,,,,,,,,,,,,,,,,,,,,Verbindl.a.Lieferungen/Leistungen 1-5 J,"Trade payables, no separate receivables/payables accounting remaining term between 1 and 5 years"
1628,,,,,,,,,,,,,,,,,,,,,Verbindl.a.Lieferungen/Leistungen g.5 J,"Trade payables, no separate receivables/payables accounting remaining term greater than 5 years"
1630,,,,,,,,,,,,,,,,,,,,,Verbindl. aus L+L gg. verbundenen UN,Trade payables to affiliated companies
1631,,,,,,,,,,,,,,,,,,,,,Verbindl.aus L+L gg.verbundenen UN b. 1J,Trade payables to affiliated companies remaining term up to 1 year
1635,,,,,,,,,,,,,,,,,,,,,Verbindl.aus L+L gg.verbundenen UN 1-5 J,Trade payables to affiliated companies remaining term between 1 and 5 years
1638,,,,,,,,,,,,,,,,,,,,,Verbindl.aus L+L gg.verbundenen UN g.5 J,Trade payables to affiliated companies remaining term greater than 5 years
1640,,,,,,,,,,,,,,,,,,,,,Verbindl.aus L+L gg.UN m.Beteiligg.verh.,Trade payables to other long-term investees and investors
1641,,,,,,,,,,,,,,,,,,,,,Verbindl.aus L+L gg.UN m. Bet.verh. b.1J,Trade payables to other long-term investees and investors remaining term up to 1 year
1645,,,,,,,,,,,,,,,,,,,,,Verbindl.aus L+L gg.UN m. Bet.verh. 1-5J,Trade payables to other long-term investees and investors remaining term between 1 and 5 years
1648,,,,,,,,,,,,,,,,,,,,,Verbindl.aus L+L gg.UN m. Bet.verh. g.5J,Trade payables to other long-term investees and investors remaining term greater than 5 years
1650,,,,,,,,,,,,,,,,,,,,,Verbindl. aus L+L gg. Gesellschaftern,Trade payables to shareholders/partners
1651,,,,,,,,,,,,,,,,,,,,,Verbindl. aus L+L gg. Gesellsch. b. 1J,Trade payables to shareholders/partners remaining term up to 1 year
1655,,,,,,,,,,,,,,,,,,,,,Verbindl. aus L+L gg. Gesellsch. 1-5 J,Trade payables to shareholders/partners remaining term between 1 and 5 years
1658,,,,,,,,,,,,,,,,,,,,,Verbindl. aus L+L gg. Gesellsch. g. 5J,Trade payables to shareholders/partners remaining term greater than 5 years
1659,,,,,,,,,,,,,,,,,,,,,Gegenkonto bei Aufteilung Kreditoren,Contra account 16251658 if allocated to payables account
1660,,,,,,,,,,,,,,,,,,,,,Wechselverbindlichkeiten,Bills payable
1661,,,,,,,,,,,,,,,,,,,,,Wechselverbindlichkeiten (bis 1 Jahr),Bills payable remaining term up to 1 year
1662,,,,,,,,,,,,,,,,,,,,,Wechselverbindlichkeiten (1-5 Jahre)," Bills payable remaining term between 1 and 5 years"
1663,,,,,,,,,,,,,,,,,,,,,Wechselverbindlichkeiten (g. 5 Jahre),Bills payable remaining term greater than 5 years
1665,,,,,,,,,,,,,,,,,,,,,Verbindlichk. ggb. GmbH-Gesellschaftern,Liabilities to GmbH shareholders
1666,,,,,,,,,,,,,,,,,,,,,"Verbindlichk. ggb. GmbH-Ges.ern, b1J",Liabilities to GmbH shareholders remaining term up to 1 year
1667,,,,,,,,,,,,,,,,,,,,,"Verbindlichk. ggb. GmbH-Ges.ern, 1-5J",Liabilities to GmbH shareholders remaining term between 1 and 5 years
1668,,,,,,,,,,,,,,,,,,,,,"Verbindlichk. ggb. GmbH-Ges.ern, g5J",Liabilities to GmbH shareholders remaining term greater than 5 years
1670,,,,,,,,,,,,,,,,,,,,,Verbindl. ggb. pers.haftenden Ges.ern,Liabilities to general partners
1671,,,,,,,,,,,,,,,,,,,,,"Verbindl. ggb. pers.haft. Ges.ern, b1J",Liabilities to general partners remaining term up to 1 year
1672,,,,,,,,,,,,,,,,,,,,,"Verbindl. ggb. pers.haft. Ges.ern, 1-5J",Liabilities to general partners remaining term between 1 and 5 years
1673,,,,,,,,,,,,,,,,,,,,,"Verbindl. ggb. pers.haft. Ges.ern, g5J",Liabilities to general partners remaining term greater than 5 years
1675,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten ggb. Kommanditisten,Liabilities to limited partners
1676,,,,,,,,,,,,,,,,,,,,,"Verbindlichk. ggb. Kommanditisten, b1J",Liabilities to limited partners remaining term up to 1 year
1677,,,,,,,,,,,,,,,,,,,,,"Verbindlichk. ggb. Kommanditisten, 1-5J",Liabilities to limited partners remaining term between 1 and 5 years
1678,,,,,,,,,,,,,,,,,,,,,"Verbindlichk. ggb. Kommanditisten, g5J",Liabilities to limited partners remaining term greater than 5 years
1691,,,,,,,,,,,,,,,,,,,,,Verbindlichk. ggb. Arbeitsgemeinschaft,Liabilities to project consortiums
1692,,,,,,,,,,,,,,,,,,,,,Neutralis.aufwandsw.Sachv. § 4 (3) EStG,Neutralization of items recognized in expenses for section 4(3) EStG
1693,,,,,,,,,,,,,,,,,,,,,Ergebnisneutrale Sachv. § 4 (3) EStG,Items recognized in equity for section 4(3) EStG
1695,,,,,,,,,,,,,,,,,,,,,Verb.ggü.still.Gesellschaftern - so.Verb,Liabilities to silent partners
1696,,,,,,,,,,,,,,,,,,,,,Verb.ggü.still.Gesellsch.(b.1J) so.Verb.,Liabilities to silent partners remaining term up to 1 year
1697,,,,,,,,,,,,,,,,,,,,,Verb.ggü.still.Gesellsch.(1-5J) so.Verb.,Liabilities to silent partners remaining term between 1 and 5 years
1698,,,,,,,,,,,,,,,,,,,,,Verb.ggü.still.Gesellsch.(g.5J) so.Verb.,Liabilities to silent partners remaining term greater than 5 years
1700,,,,,,,,,,,,,,,,,,,,,Sonstige Verbindlichkeiten,Other liabilities
1701,,,,,,,,,,,,,,,,,,,,,Sonstige Verbindlichkeiten (bis 1 J),Other liabilities remaining term up to 1 year
1702,,,,,,,,,,,,,,,,,,,,,Sonstige Verbindlichkeiten (1-5 J),Other liabilities remaining term between 1 and 5 years
1703,,,,,,,,,,,,,,,,,,,,,Sonstige Verbindlichkeiten (g. 5 J),Other liabilities remaining term greater than 5 years
1704,,,,,,,,,,,,,,,,,,,,,So. Verbindl. § 11 (2) für § 4 (3) EStG,"Other liabilities, under section 11(2) sentence 2 EStG for section 4(3) EStG"
1705,,,,,,,,,,,,,,,,,,,,,Darlehen (sonstige VB),Loans
1706,,,,,,,,,,,,,,,,,,,,,Darlehen Rlz bis 1 J. (sonstige VB),Loans remaining term up to 1 year
1707,,,,,,,,,,,,,,,,,,,,,Darlehen Rlz 1-5 J. (sonstige VB),Loans remaining term between 1 and 5 years
1708,,,,,,,,,,,,,,,,,,,,,Darlehen Rlz > 5 J. (sonstige VB),Loans remaining term greater than 5 years
1709,,,,,,,,,,,,,,,,,,,,,Gewinnverfügung stille Gesellschaft.,Profit drawdown account of silent partners
1710,,,,,,,,,,,,,,,,,,,,,Erhalt. Anzahlungen auf Bestellungen,Payments received on account of orders (liabilities)
1711,,,,,,,,,,,,,,,,,,,,,Erhaltene Anzahlungen 7% USt,"Tax-paid payments received on account of orders, 7 % VAT (liabilities)"
1712,,,,,,,,,,,,,,,,,,,,,Erhaltene Anzahlungen 5% USt,"Tax-paid payments received on account of orders, 5 % VAT (liabilities)"
1715,,,,,,,,,,,,,,,,,,,,,Erhaltene Anzahlungen - Nachsteuer,Payments received on account of orders Back taxes
1717,,,,,,,,,,,,,,,,,,,,,Erhaltene Anzahlungen 16% USt,"Tax-paid payments received on account of orders, 16 % VAT (liabilities)"
1718,,,,,,,,,,,,,,,,,,,,,Erhaltene Anzahlungen 19% USt,"Tax-paid payments received on account of orders, 19 % VAT (liabilities)"
1719,,,,,,,,,,,,,,,,,,,,,Erhaltene Anzahlungen (bis 1 Jahr),Payments received on account of orders remaining term up to 1 year
1720,,,,,,,,,,,,,,,,,,,,,Erhaltene Anzahlungen (1-5 Jahre),Payments received on account of orders remaining term between 1 and 5 years
1721,,,,,,,,,,,,,,,,,,,,,Erhaltene Anzahlungen (g. 5 Jahre),Payments received on account of orders remaining term greater than 5 years
1722,,,,,,,,,,,,,,,,,,,,,Erhaltene Anzahlungen auf Bestellungen,Payments received on account of orders (deducted from inventories on the face of the balance sheet)
1725,,,,,,,,,,,,,,,,,,,,,USt fällig Folg.per.§§13(1) u.13b(2)UStG,VAT due in following period (sections 13 (1)
1728,,,,,,,,,,,,,,,,,,,,,USt im and. EU-Land stpfl.elektr. Leistg,VAT on electronic services taxable in another EU country
1729,,,,,,,,,,,,,,,,,,,,,Steuerzahlg aus im and.EU-Land stpfl.DL,Tax payments on services taxable in another EU country
1730,,,,,,,,,,,,,,,,,,,,,Kreditkartenabrechnung,Credit card settlements
1731,,,,,,,,,,,,,,,,,,,,,Agenturwarenabrechnung (sonstige VB),Consignment goods accounts
1732,,,,,,,,,,,,,,,,,,,,,Erhaltene Kautionen,Security deposits received
1733,,,,,,,,,,,,,,,,,,,,,Erhaltene Kautionen (bis 1 Jahr),Security deposits received remaining term up to 1 year
1734,,,,,,,,,,,,,,,,,,,,,Erhaltene Kautionen (1-5 Jahre),Security deposits received remaining term between 1 and 5 years
1735,,,,,,,,,,,,,,,,,,,,,Erhaltene Kautionen (größer 5 Jahre),Security deposits received remaining term greater than 5 years
1736,,,,,,,,,,,,,,,,,,,,,Verbindl. Steuern und Abgaben,Liabilities from taxes and levies
1737,,,,,,,,,,,,,,,,,,,,,Verbindl. Steuern und Abgaben (b. 1 J),Liabilities from taxes and levies remaining term up to 1 year
1738,,,,,,,,,,,,,,,,,,,,,Verbindl. Steuern und Abgaben (1-5 J),Liabilities from taxes and levies remaining term between 1 and 5 years
1739,,,,,,,,,,,,,,,,,,,,,Verbindl. Steuern und Abgaben (g. 5 J),Liabilities from taxes and levies remaining term greater than 5 years
1740,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten aus Lohn und Gehalt,Payroll liabilities
1741,,,,,,,,,,,,,,,,,,,,,Verbindlichk. Lohn- und Kirchensteuer,Wage and church tax payables
1742,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten soziale Sicherheit,Social security liabilities
1743,,,,,,,,,,,,,,,,,,,,,Verbindlichk. soziale Sicherheit(b.1J),Social security liabilities remaining term up to 1 year
1744,,,,,,,,,,,,,,,,,,,,,Verbindlichk. soziale Sicherheit(1-5J),Social security liabilities remaining term between 1 and 5 years
1745,,,,,,,,,,,,,,,,,,,,,Verbindlichk. soziale Sicherheit(g.5J),Social security liabilities remaining term greater than 5 years
1746,,,,,,,,,,,,,,,,,,,,,Verbindlichk. a.Einbehaltung (KapESt),"Liabilities from taxes withheld (investment income tax and solidarity surcharge, church tax on investment income tax) for open distribution"
1747,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten für Verbrauchsteuern,Excise duties payable
1748,,,,,,,,,,,,,,,,,,,,,Verbindlichk. Einbehaltung Arbeitnehmer,Liabilities for amounts withheld from employees
1749,,,,,,,,,,,,,,,,,,,,,Verbindl. an FA abzuführender Bauabzug,Payables to tax authorities for construction withholding tax to be remitted
1750,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten a. Vermögensbildung,Liabilities from capitalforming payment arrangements
1751,,,,,,,,,,,,,,,,,,,,,Verbindlichk. Vermögensbildung(b.1J),Liabilities from capitalforming payment arrangements remaining term up to 1 year
1752,,,,,,,,,,,,,,,,,,,,,Verbindlichk. Vermögensbildung(1-5J),Liabilities from capitalforming payment arrangements remaining term between 1 and 5 years
1753,,,,,,,,,,,,,,,,,,,,,Verbindlichk. Vermögensbildung(g.5J),Liabilities from capitalforming payment arrangements remaining term greater than 5 years
1754,,,,,,,,,,,,,,,,,,,,,Steuerzahlungen an andere Länder,Tax payments to other countries
1755,,,,,,,,,,,,,,,,,,,,,Lohn- und Gehaltsverrechnungen,Payroll allocation
1756,,,,,,,,,,,,,,,,,,,,,Lohn/Gehaltsverrg § 11 (2) f.§ 4(3) EStG,"Payroll allocation, section 11(2) EStG for section 4(3) EStG"
1757,,,,,,,,,,,,,,,,,,,,,Verbindlichk. gg Gesellschaft/Gesamthand,Liabilities to company/joint ownership
1758,,,,,,,,,,,,,,,,,,,,,So. Verbindl. genossensch.Rückvergütung,Other liabilities refunds by co-operatives
1759,,,,,,,,,,,,,,,,,,,,,Voraus.Beitrag ggb. Sozialversich.träger,Expected contributions owed to social security funds
1760,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer nicht fällig,VAT not due
1761,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer nicht fällig 7%,"VAT not due, 7 %"
1762,,,,,,,,,,,,,,,,,,,,,"USt nicht fällig, EU-Lieferungen",VAT not due on intra-European Union supplies of goods and services subject to domestic taxation
1763,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer nicht fällig 5%,"VAT not due, 5 %"
1764,,,,,,,,,,,,,,,,,,,,,"USt nicht fällig, EU-Lieferungen 19%","VAT not due on intra-European Union supplies of goods and services subject to domestic taxation, 19 %"
1765,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer nicht fällig 16%,"VAT not due, 16 %"
1766,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer nicht fällig 19%,"VAT not due, 19 %"
1767,,,,,,,,,,,,,,,,,,,,,USt im anderen EU-Land stpfl.Lieferung,VAT on supplies of goods and services taxable in another EU country
1768,,,,,,,,,,,,,,,,,,,,,USt im anderen EU-Land s.Leist./Werkl.,VAT on supplies of other goods and services/cost-plus contracts taxable in another EU country
1769,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer nach § 13a UStG,VAT withdrawal of goods from a VAT warehouse
1770,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer,VAT
1771,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer 7%,"VAT, 7 %"
1772,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer aus EU-Erwerb,VAT on intra-European Union acquisitions
1773,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer 5%,"VAT, 5 %"
1774,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer aus EU-Erwerb 19%,"VAT on intra-European Union acquisitions, 19 %"
1775,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer 16%,"VAT, 16 %"
1776,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer 19%,"VAT, 19 %"
1777,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer EU-Lieferungen,VAT on intra-European Union supplies of goods and services subject to domestic taxation
1778,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer EU-Lieferungen 19%,"VAT on intra-European Union supplies of goods and services subject to domestic taxation, 19 %"
1779,,,,,,,,,,,,,,,,,,,,,USt aus EU-Erwerb ohne Vorsteuerabzug,"VAT on intra-European Union acquisitions, no input tax deduction"
1780,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer-Vorauszahlungen,VAT prepayments
1781,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer-Vorauszahlungen 1/11,VAT prepayments 1/11
1782,,,,,,,,,,,,,,,,,,,,,Nachsteuer,"Back taxes, VAT return"
1783,,,,,,,,,,,,,,,,,,,,,Unrichtig oder unberechtigt ausgew. USt,"Incorrect or invalid invoiced taxes, VAT return line 69"
1784,,,,,,,,,,,,,,,,,,,,,USt EU-Erwerb Neufahrzeuge ohne UStID,VAT on intra-European Union acquisition of new vehicles from suppliers without VAT identification number
1785,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer nach § 13b UStG,VAT under section 13b UStG
1786,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer aus EU-Erwerb 16%,"VAT on intra-European Union acquisitions, 16 %"
1787,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer nach § 13b UStG 19%,"VAT under section 13b UStG, 19 %"
1788,,,,,,,,,,,,,,,,,,,,,Aufgeschobene Einfuhr-Umsatzsteuer,Acquisition tax deferred until
1789,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer laufendes Jahr,"VAT, current year"
1790,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer Vorjahr,"VAT, previous year"
1791,,,,,,,,,,,,,,,,,,,,,Umsatzsteuer frühere Jahre,"VAT, earlier years"
1792,,,,,,,,,,,,,,,,,,,,,Sonstige Verrechnung,Other allocation accounts (interim accounts)
1793,,,,,,,,,,,,,,,,,,,,,Verrechnung geleistete Anzahlungen,Allocation account for prepayments if posted via payables account
1794,,,,,,,,,,,,,,,,,,,,,USt letzter Abnehmer Dreiecksgeschäft,VAT from acquisition as last purchaser in a triangular transaction
1795,,,,,,,,,,,,,,,,,,,,,Verbindl soziale Sicherheit § 4 (3) EStG,Social security liabilities (section 4(3) EStG)
1796,,,,,,,,,,,,,,,,,,,,,Ausgegebene Geschenkgutscheine,Issued gift tokens
1797,,,,,,,,,,,,,,,,,,,,,Verbindlichkeiten aus Umsatzsteuer-VZ,Liabilities from VAT advance payments
1798,,,,,,,,,,,,,,,,,,,,,"USt aus im Inland stpfl.EU-Lief.,nur OSS","VAT on intra-European Union supplies of goods and services subject to domestic taxation, only OSS"
1800,,,,,,,,,,,,,,,,,,,,,"Privatentnahmen allgemein (VH), EK","Private withdrawals, general, gp"
1801,,,,,,,,,,,,,,,,,,,,,Privatentnahmen allgemein (nur EU),"Private withdrawals, general (only sole proprietorships)"
1802,,,,,,,,,,,,,,,,,,,,,Privatentnahmen Arbeitszimmer,"Private withdrawals, home office"
1810,,,,,,,,,,,,,,,,,,,,,"Privatsteuern (VH), EK","Private taxes, gp"
1812,,,,,,,,,,,,,,,,,,,,,Privatsteuern,Personal taxes
1820,,,,,,,,,,,,,,,,,,,,,"Sonderausg. beschränkt abzugsf. (VH), EK","Special personal deductions, partly deductible, gp"
1821,,,,,,,,,,,,,,,,,,,,,Sonderausg. beschränkt abzugsf. (nur EU),"Special personal deductions, partly deductible (only sole proprietorships)"
1830,,,,,,,,,,,,,,,,,,,,,"Sonderausg. unbeschr. abzugsf. (VH), EK","Special personal deductions, fully deductible, gp"
1831,,,,,,,,,,,,,,,,,,,,,Sonderausg. unbeschr. abzugsf. (nur EU),"Special personal deductions, fully deductible (only sole proprietorships)"
1840,,,,,,,,,,,,,,,,,,,,,"Zuwendungen, Spenden (VH), EK","Non-cash benefits, donations, gp"
1841,,,,,,,,,,,,,,,,,,,,,"Zuwendungen, Spenden (nur EU)","Non-cash benefits, donations (only sole proprietorships)"
1850,,,,,,,,,,,,,,,,,,,,,"Außergewöhnliche Belastungen (VH), EK","Extraordinary expenses, gp"
1851,,,,,,,,,,,,,,,,,,,,,Außergewöhnliche Belastungen (nur EU),Extraordinary expenses (only sole proprietorships)
1860,,,,,,,,,,,,,,,,,,,,,"Grundstücksaufwand (VH), EK","Real estate expenses, gp"
1861,,,,,,,,,,,,,,,,,,,,,Grundstücksaufwand (nur EU),Real estate expenses (only sole proprietorships)
1869,,,,,,,,,,,,,,,,,,,,,Grundstücksaufw. USt-Schl. mgl. (nur EU),"Real estate expenses (VAT key possible, only sole proprietorships)"
1870,,,,,,,,,,,,,,,,,,,,,"Grundstücksertrag (VH), EK","Income from real estate, gp"
1871,,,,,,,,,,,,,,,,,,,,,Grundstücksertrag (nur EU),Income from real estate (only sole proprietorships)
1879,,,,,,,,,,,,,,,,,,,,,Grundstücksertr. USt-Schl. mgl. (nur EU),"Income from real estate (VAT key possible, only sole proprietorships)"
1880,,,,,,,,,,,,,,,,,,,,,"Unentgeltliche Wertabgaben (VH), EK","Non-cash withdrawals, gp"
1881,,,,,,,,,,,,,,,,,,,,,Unentgeltliche Wertabgaben (nur EU),Non-cash withdrawals (only sole proprietorships)
1890,,,,,,,,,,,,,,,,,,,,,"Privateinlagen (VH), EK","Private contributions, gp"
1891,,,,,,,,,,,,,,,,,,,,,Privateinlagen (nur EU),Private contributions (only sole proprietorships)
1900,,,,,,,,,,,,,,,,,,,,,"Privatentnahmen allgemein (TH), FK","Private withdrawals, general, lp"
1910,,,,,,,,,,,,,,,,,,,,,"Privatsteuern (TH), FK","Private taxes, lp 1911-1919"
1920,,,,,,,,,,,,,,,,,,,,,"Sonderausg. beschränkt abzugsf. (TH), FK","Special personal deductions, partly deductible, lp"
1930,,,,,,,,,,,,,,,,,,,,,"Sonderausg. unbeschr. abzugsf. (TH), FK","Special personal deductions, fully deductible, lp"
1940,,,,,,,,,,,,,,,,,,,,,"Zuwendungen, Spenden (TH), FK","Non-cash benefits, donations, lp"
1950,,,,,,,,,,,,,,,,,,,,,"Außergewöhnliche Belastungen (TH), FK","Extraordinary expenses, lp"
1960,,,,,,,,,,,,,,,,,,,,,"Grundstücksaufwand (TH), FK","Real estate expenses, lp 1961"
1970,,,,,,,,,,,,,,,,,,,,,"Grundstücksertrag (TH), FK","Income from real estate, lp"
1980,,,,,,,,,,,,,,,,,,,,,"Unentgeltliche Wertabgaben (TH), FK","Non-cash withdrawals, lp"
1990,,,,,,,,,,,,,,,,,,,,,"Privateinlagen (TH), FK","Private contributions, lp 1991"
2004,,,,,,,,,,,,,,,,,,,,,Verluste durch Verschmelzg./Umwandlung,Losses from mergers and reorganisations
2006,,,,,,,,,,,,,,,,,,,,,Verl.d.außergew.Schad.fälle(Bilanzierer),Losses due to extraordinary damage (balance sheet accounting only)
2007,,,,,,,,,,,,,,,,,,,,,Aufw. für Restrukturierung u. Sanierung,Restructuring and reorganisation costs
2008,,,,,,,,,,,,,,,,,,,,,Verlust Veräuß/Aufg.Geschäftsaktivität,"Losses from disposal or discontinuation of business activities, net of tax"
2010,,,,,,,,,,,,,,,,,,,,,Betriebsfremde Aufwendungen,Non-operating expenses
2020,,,,,,,,,,,,,,,,,,,,,Periodenfremde Aufwendungen,Prior-period expenses
2090,,,,,,,,,,,,,,,,,,,,,Aufwendungen Übergangsvorschr. BilMoG,Expenses from the application of transitional provisions
2091,,,,,,,,,,,,,,,,,,,,,Aufwendungen Pensionsrückstellungen,Expenses from the application of transitional provisions (provisions for pensions)
2094,,,,,,,,,,,,,,,,,,,,,Aufwendungen latente Steuern BilMoG,Expenses from the application of transitional provisions (deferred taxes)
2100,,,,,,,,,,,,,,,,,,,,,Zinsen und ähnliche Aufwendungen,Interest and similar expenses
2102,,,,,,,,,,,,,,,,,,,,,N. abzugsf. and.Nebenleistg §4 (5b) EStG,"Non-tax-deductible other incidental charges related to taxes, section 4(5b) EStG"
2103,,,,,,,,,,,,,,,,,,,,,Abzugsfäh. and. Nebenleist. zu Steuern,Tax-deductible other incidental charges related to taxes
2104,,,,,,,,,,,,,,,,,,,,,Nicht abzugsfäh.and.Nebenleist.z.Steuern,Non-tax-deductible other incidental charges related to taxes
2105,,,,,,,,,,,,,,,,,,,,,Zinsaufw. § 233a AO nicht abzugsfähig,"Interest expenses as per Sect. 233a of the German Fiscal Code, nondeductible"
2107,,,,,,,,,,,,,,,,,,,,,Zinsaufw. § 233a AO abzugsfähig,"Interest expenses as per Sect. 233a of the German Fiscal Code, deductible"
2108,,,,,,,,,,,,,,,,,,,,,Zinsaufw. §§ 234 bis 237 AO n. abzugsf.,"Interest expenses as per Sect. 234 to 237 of the German Fiscal Code, non deductible"
2109,,,,,,,,,,,,,,,,,,,,,Zinsaufwendungen an verbund. Unternehmen,Interest expenses to affiliated companies
2110,,,,,,,,,,,,,,,,,,,,,Zinsaufwendungen f.kfr.Verbindlichkeit.,Interest expenses on short-term debt
2111,,,,,,,,,,,,,,,,,,,,,Zinsaufw. §§ 234 bis 237 AO abzugsfähig,"Interest expenses as per Sect. 234 to 237 of the German Fiscal Code, deductible"
2113,,,,,,,,,,,,,,,,,,,,,N. abzugsf. Schuldzinsen § 4 (4a) EStG,Non-deductible interest on long-term debt under section 4(4a) EStG (add-back)
2114,,,,,,,,,,,,,,,,,,,,,Zinsen für Gesellschafterdarlehen (KapG),Interest on shareholder loans
2115,,,,,,,,,,,,,,,,,,,,,Zinsen und ähnliche Aufw.z.T. nicht abz.,"Interest and similar expenses, sections 3 no. 40, 3c EStG/section 8b(1,4) KStG"
2116,,,,,,,,,,,,,,,,,,,,,"Zinsen, Aufwendg. verb. UN z.T. n.abz.","Interest and similar expenses to affiliated companies, sections 3 no. 40, 3c EStG/section 8b(1) KStG"
2117,,,,,,,,,,,,,,,,,,,,,"Zinsen an Gesell., Beteilig. >25% (KapG)",Interest to shareholders with an equity interest of more than 25 % or their related parties
2118,,,,,,,,,,,,,,,,,,,,,Zinsen auf Kontokorrentkonten,Interest on receivables and payables accounts
2119,,,,,,,,,,,,,,,,,,,,,Zinsaufwend. f.kfr. Verb.an verbund. UN,Interest expenses on short-term liabilities to affiliated companies
2120,,,,,,,,,,,,,,,,,,,,,Zinsaufwendungen f.lfr.Verbindlichkeit.,Interest expense on long-term debt
2123,,,,,,,,,,,,,,,,,,,,,Abschr.Agio oder Disagio z. Finanzierung,Depreciation and amortization of premium or discount/debt discount for financing purposes
2124,,,,,,,,,,,,,,,,,,,,,Abschr.Agio od.Disagio zur Finanzg d.AV,Depreciation and amortization of premium or discount/debt discount for financing fixed assets
2125,,,,,,,,,,,,,,,,,,,,,Zinsen für Gebäude im Betriebsvermögen,Interest expenses for buildings classified as operating assets
2126,,,,,,,,,,,,,,,,,,,,,Zinsen zur Finanzierung Anlagevermögen,Borrowing costs for fixed assets
2127,,,,,,,,,,,,,,,,,,,,,Renten und dauernde Lasten,Annuities and recurrent payments
2128,,,,,,,,,,,,,,,,,,,,,Zinsen an Mituntern.§ 15 EStG (PersG),"Interest expenses for the provision of capital by partners, section 15 EStG (corresponds to special business income)"
2129,,,,,,,,,,,,,,,,,,,,,Zinsaufw. für lfr. Verbindlichk.verb.UN,Interest expenses on long-term liabilities to affiliated companies
2130,,,,,,,,,,,,,,,,,,,,,Diskontaufwendungen,Discount expenses
2139,,,,,,,,,,,,,,,,,,,,,Diskontaufwendungen an verbundene UN,Discount expenses to affiliated companies
2140,,,,,,,,,,,,,,,,,,,,,Zinsähnliche Aufwendungen,Expenses similar to interest expenses
2141,,,,,,,,,,,,,,,,,,,,,"Kreditprovision,Verwaltungskostenbeitr.",Loan commissions and administrative cost contributions
2142,,,,,,,,,,,,,,,,,,,,,Zinsant. Zuführung Pensionsrückstellung,Interest cost included in additions to pension provisions
